################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -7.6412345302711057E-02 a       198     0    10     1    18
  1.6905281378750089E-01 a       199     0    10     1    19
  1.5691517965831039E-01 a       200     0    10     1    20
  5.0642028161966182E-02 a       201     0    11     1     1
  1.4047359865724893E-01 a       202     0    11     1     2
  1.0475052545108050E-01 a       203     0    11     1     3
 -8.6570807276729153E-02 a       204     0    11     1     4
 -1.8550370271317848E-01 a       205     0    11     1     5
 -5.3129508032655266E-02 a       206     0    11     1     6
 -2.2466249446629535E-01 a       207     0    11     1     7
 -1.7197550820716392E-01 a       208     0    11     1     8
  1.8985425036804474E-01 a       209     0    11     1     9
 -6.3029698849197791E-02 a       210     0    11     1    10
  2.7198865411195872E-01 a       211     0    11     1    11
 -1.1745650938621117E-01 a       212     0    11     1    12
  1.1975439954841147E-01 a       213     0    11     1    13
  4.6976034229630431E-01 a       214     0    11     1    14
 -2.7964703751144837E-01 a       215     0    11     1    15
  2.5043730021940386E-01 a       216     0    11     1    16
 -7.1466158711893407E-02 a       217     0    11     1    17
  6.2625049432222496E-02 a       218     0    11     1    18
  8.5754885874813839E-03 a       219     0    11     1    19
  5.7759623540550323E-02 a       220     0    11     1    20
  6.6647222376430712E-02 a       221     0    12     1     1
  2.4201694039554508E-01 a       222     0    12     1     2
 -9.5481279780579062E-02 a       223     0    12     1     3
 -1.2430722350829027E-01 a       224     0    12     1     4
 -3.6924278528985566E-01 a       225     0    12     1     5
 -1.6403642461765472E-01 a       226     0    12     1     6
 -3.6690908697906971E-01 a       227     0    12     1     7
 -1.7142890000647157E-01 a       228     0    12     1     8
 -7.2464849069646023E-02 a       229     0    12     1     9
  1.3738694460988657E-01 a       230     0    12     1    10
 -6.7887930805040089E-02 a       231     0    12     1    11
 -1.1759788134066326E-01 a       232     0    12     1    12
  9.1044883025940757E-04 a       233     0    12     1    13
  2.7518634727166752E-01 a       234     0    12     1    14
 -1.0942545123472526E-01 a       235     0    12     1    15
  2.8572769653737107E-01 a       236     0    12     1    16
  1.1243321322417428E-02 a       237     0    12     1    17
  3.7383191531501381E-01 a       238     0    12     1    18
  2.9618746282866027E-02 a       239     0    12     1    19
 -3.3452653981360804E-02 a       240     0    12     1    20
  1.2695704543927135E-02 a       241     0    13     1     1
  3.2780780192004982E-01 a       242     0    13     1     2
 -3.1730659928801863E-01 a       243     0    13     1     3
  3.5941150105967939E-01 a       244     0    13     1     4
  5.8218365459246406E-02 a       245     0    13     1     5
  5.9259101116412055E-02 a       246     0    13     1     6
  4.7954011578163654E-02 a       247     0    13     1     7
  9.8198837957967133E-02 a       248     0    13     1     8
  1.9670865060478951E-01 a       249     0    13     1     9
  7.6058256532283527E-02 a       250     0    13     1    10
  2.3530292897788602E-01 a       251     0    13     1    11
 -1.5513293601583342E-01 a       252     0    13     1    12
  3.3235260424804805E-02 a       253     0    13     1    13
  1.6783219742299401E-02 a       254     0    13     1    14
 -8.6056170917689551E-02 a       255     0    13     1    15
 -6.9801043110027994E-02 a       256     0    13     1    16
 -1.3998639254710504E-01 a       257     0    13     1    17
  3.1876109739496927E-01 a       258     0    13     1    18
  1.3574861192816123E-01 a       259     0    13     1    19
  1.9341052990040994E-01 a       260     0    13     1    20
  4.7121675248373983E-02 a       261     0    14     1     1
 -6.3916633591219477E-02 a       262     0    14     1     2
  5.3513237728927902E-02 a       263     0    14     1     3
  1.5592284130780670E-01 a       264     0    14     1     4
  3.4105868241218702E-02 a       265     0    14     1     5
  4.2882475611126972E-02 a       266     0    14     1     6
 -1.8303299770126438E-01 a       267     0    14     1     7
 -6.2146531761269287E-03 a       268     0    14     1     8
 -6.6942384880349717E-02 a       269     0    14     1     9
  1.2688278815320198E-01 a       270     0    14     1    10
  4.7009678383272212E-02 a       271     0    14     1    11
 -9.2325228770173323E-02 a       272     0    14     1    12
 -7.2033148234423180E-02 a       273     0    14     1    13
  2.5555639677488817E-01 a       274     0    14     1    14
 -1.4704611207543508E-01 a       275     0    14     1    15
  1.1444722939571789E-01 a       276     0    14     1    16
 -3.3546038669934952E-01 a       277     0    14     1    17
  1.8326531129761789E-01 a       278     0    14     1    18
 -2.2225295673822243E-01 a       279     0    14     1    19
 -1.5042938716369664E-01 a       280     0    14     1    20
 -1.1482974402741337E-01 a       281     0    15     1     1
 -8.2403323705363754E-02 a       282     0    15     1     2
  1.0409514402534938E-01 a       283     0    15     1     3
 -2.0757968410516717E-01 a       284     0    15     1     4
  1.1277097527007160E-01 a       285     0    15     1     5
  1.7954651730641050E-02 a       286     0    15     1     6
 -1.5928570274827886E-01 a       287     0    15     1     7
 -7.6110597751388440E-02 a       288     0    15     1     8
  1.5278610195070106E-02 a       289     0    15     1     9
  1.5139389492106509E-01 a       290     0    15     1    10
 -3.8158406251791552E-02 a       291     0    15     1    11
  7.4995132402312328E-02 a       292     0    15     1    12
 -1.1517580567670196E-01 a       293     0    15     1    13
  1.8234886508420864E-01 a       294     0    15     1    14
