################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1         38   0.0000000000000000E+00   1.4117385598668170E-01   3.3346523389349170E-03   9.5788660241164433E-03
         1         39   0.0000000000000000E+00   2.3313550836919467E-02   2.8210047693106943E-04   1.0042906920876026E-03
         1         40   0.0000000000000000E+00   1.7912150188377132E-01   4.1881912729984485E-03   1.2214038915380573E-02
         1         41   0.0000000000000000E+00   2.1050865418070278E-01   3.8116809721128087E-03   1.1788162149384560E-02
         1         42   0.0000000000000000E+00   5.5147749247665710E-02   9.6537756126929006E-04   3.1117367729927006E-03
         1         43   0.0000000000000000E+00   3.2456762756627663E-02   1.1764946610172773E-04   5.7854136651758605E-04
         1         44   0.0000000000000000E+00   5.1363395823443847E-01   1.0342679672454169E-02   3.1130106642456790E-02
         1         45   0.0000000000000000E+00   4.2761737945868274E-02   5.6746887182909981E-04   1.9894800317633377E-03
         1         46   0.0000000000000000E+00   1.3875841068732289E-02   1.3568083043419710E-04   5.1862907135929060E-04
         1         47   0.0000000000000000E+00   5.7739411889610674E-02   1.0697081296426503E-03   3.5146823970240186E-03
         1         48   0.0000000000000000E+00   7.2663640120476436E-02   1.4151850065987459E-03   4.6031238423437960E-03
         1         49   0.0000000000000000E+00   5.2861099306898557E-02   6.1596163933583530E-04   2.4017450579947551E-03
         1         50   0.0000000000000000E+00   1.3717538273942320E-02   1.2520698677875419E-04   5.3375417801759101E-04
         1         51   0.0000000000000000E+00   2.7095422974120591E-02   2.9384645679043561E-04   1.2164341772221881E-03
         1         52   0.0000000000000000E+00   1.0098915651489579E-02   7.6336336391372679E-05   3.3719602968059571E-04
         1         53   0.0000000000000000E+00   1.2335985536250076E-02   1.3350359585802762E-04   5.5881032553246673E-04
         1         54   0.0000000000000000E+00   1.4197800099463786E-02   1.9144210596453988E-04   7.6179641872308184E-04
         1         55   0.0000000000000000E+00   4.8328741181977381E-03   2.8399555420516969E-05   1.5642151867968935E-04
         1         56   0.0000000000000000E+00   1.1328273679381469E-02   8.0151143257283219E-05   4.2653476352076994E-04
         1         57   0.0000000000000000E+00   3.2726030589027157E+00   1.8293691743576609E-01   3.1386860931849825E-01
         1         58   0.0000000000000000E+00   2.8109611056538547E+01   1.2285029336166857E+00   2.3987117679019048E+00
         1         59   0.0000000000000000E+00   1.6055864422237754E+01   7.0695289206264422E-01   1.3940382725637088E+00
         1         60   0.0000000000000000E+00   3.9789062301535751E+00   2.3804094572750209E-01   4.3487469429663583E-01
         1         61   0.0000000000000000E+00   6.0221207355662534E+00   2.5199174179320061E-01   5.2207490452891625E-01
         1         62   0.0000000000000000E+00   1.1552033893770949E+01   4.6004775659924918E-01   9.1108901580151347E-01
         1         63   0.0000000000000000E+00   2.7493124979078395E+01   1.1989989614053089E+00   2.3430993768848070E+00
         1         64   0.0000000000000000E+00   1.5703625873174166E+01   6.8993631322059301E-01   1.3617159089238522E+00
         1         65   0.0000000000000000E+00   5.8829186555639383E+00   2.4579430139314126E-01   5.0979573155750302E-01
         1         66   0.0000000000000000E+00   1.1062236066022724E+01   4.3831754887868241E-01   8.6973072665036333E-01
         1         67   0.0000000000000000E+00   2.6310998284546173E+01   1.1425314587263742E+00   2.2366163971386990E+00
         1         68   0.0000000000000000E+00   2.6174770572889949E+00   9.1108353276829784E-02   1.9040270702815773E-01
         1         69   0.0000000000000000E+00   1.5028147727842684E+01   6.5736242405641510E-01   1.2998091165353070E+00
         1         70   0.0000000000000000E+00   5.6160285435043908E+00   2.3393070593577270E-01   4.8626774159092684E-01
         1         71   0.0000000000000000E+00   1.0053497736607346E+01   3.9380319157628096E-01   7.8489725203960581E-01
         1         72   0.0000000000000000E+00   2.3879323105471780E+01   1.0268608196610156E+00   2.0182740505465975E+00
         1         73   0.0000000000000000E+00   2.3813211385370758E+00   8.1776233152034847E-02   1.7192126315710296E-01
         1         74   0.0000000000000000E+00   5.0673004718753623E+00   2.0962246949804719E-01   4.3795879545022981E-01
