################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1         56   0.0000000000000000E+00   1.3525744560690109E-01   1.1051798896694659E-02   1.1779282669553571E-02
         1         57   0.0000000000000000E+00   8.3939256057542799E+00   1.0159407572291934E+00   1.0223100720009781E+00
         1         58   0.0000000000000000E+00   4.3303066243631122E+01   6.8268527011458833E+00   5.4833079652175245E+00
         1         59   0.0000000000000000E+00   2.2266180134221329E+01   4.0049537984274748E+00   3.0465111930898816E+00
         1         60   0.0000000000000000E+00   7.8941080677875206E+00   1.3219220064760611E+00   9.6910251132219105E-01
         1         61   0.0000000000000000E+00   7.3467162586043093E+00   1.5535244261612167E+00   1.1196835010337476E+00
         1         62   0.0000000000000000E+00   2.3067999555979945E+01   2.6118348679616501E+00   2.6134781636766542E+00
         1         63   0.0000000000000000E+00   4.2688243476918501E+01   6.7193903117894918E+00   5.3975102084988036E+00
         1         64   0.0000000000000000E+00   2.1973201135592248E+01   3.9418605236491033E+00   2.9984705714096052E+00
         1         65   0.0000000000000000E+00   7.2541552700536158E+00   1.5286209655165617E+00   1.1013863146595535E+00
         1         66   0.0000000000000000E+00   2.2295766479824575E+01   2.5306157623142744E+00   2.5315334032620287E+00
         1         67   0.0000000000000000E+00   4.1489612634955094E+01   6.5109926525761050E+00   5.2312539791118970E+00
         1         68   0.0000000000000000E+00   6.0817164033437985E+00   5.6701578054033075E-01   6.9643803975892049E-01
         1         69   0.0000000000000000E+00   2.1400669204675580E+01   3.8194890565017459E+00   2.9054035749764395E+00
         1         70   0.0000000000000000E+00   7.0729821136489264E+00   1.4803170237115990E+00   1.0659599239140107E+00
         1         71   0.0000000000000000E+00   2.0668894873859188E+01   2.3595195367900104E+00   2.3591268854033443E+00
         1         72   0.0000000000000000E+00   3.8936665563755447E+01   6.0719963273643671E+00   4.8815585143204014E+00
         1         73   0.0000000000000000E+00   5.5923405643197936E+00   5.2862674871379012E-01   6.4747994932928266E-01
         1         74   0.0000000000000000E+00   6.6838437856606951E+00   1.3785263702205901E+00   9.9157924218624871E-01
         1         75   0.0000000000000000E+00   6.1932826089195174E+00   7.7146054835198841E-01   7.7695047706093789E-01
         1         76   0.0000000000000000E+00   3.4099037229628522E+01   5.2582260053021495E+00   4.2350171907272474E+00
         1         77   0.0000000000000000E+00   5.9336014271092514E+00   1.1897442027579066E+00   8.5459131856832771E-01
         1         78   0.0000000000000000E+00   4.3726714493669467E+00   1.2478251602999615E-01   2.3735829714188944E-01
         1         79   0.0000000000000000E+00   2.5877316970946104E+01   3.9287542353220983E+00   3.1820268324829213E+00
         1         80   0.0000000000000000E+00   8.7788871986208719E+00   1.3257553567062774E+00   1.0546459458738016E+00
         1         81   0.0000000000000000E+00   9.6687351730866862E+00   3.7635856383490929E-01   6.0089977232460989E-01
         1         82   0.0000000000000000E+00   3.2962203687268694E+00   3.4030213056084069E-01   4.1056592789246882E-01
         1         83   0.0000000000000000E+00   1.3985426458793100E+00   1.2532265894947903E-01   1.6144703124869722E-01
         1         84   0.0000000000000000E+00   1.3761190472017702E+01   2.3014790052120371E+00   1.7611579465224843E+00
