################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  8.7997272792698022E-01 a       240     0    12     1    20
 -5.0461261552931813E-01 a       241     0    13     1     1
 -3.7485074426771986E-01 a       242     0    13     1     2
  6.4726462856655520E-01 a       243     0    13     1     3
 -1.3664917340837462E-01 a       244     0    13     1     4
 -4.4091723411682840E-03 a       245     0    13     1     5
  8.7688423765216683E-02 a       246     0    13     1     6
  1.0077645173167773E+00 a       247     0    13     1     7
 -1.3927711158238609E-01 a       248     0    13     1     8
 -4.2685529039511105E-01 a       249     0    13     1     9
  6.7278743304911814E-01 a       250     0    13     1    10
 -2.3518854160500632E-01 a       251     0    13     1    11
  2.2879472254479180E-01 a       252     0    13     1    12
 -1.2988928075082240E+00 a       253     0    13     1    13
 -4.3320662398004300E-01 a       254     0    13     1    14
  4.3956114943458591E-01 a       255     0    13     1    15
 -7.1702557561851551E-02 a       256     0    13     1    16
  8.1514069811198617E-02 a       257     0    13     1    17
  2.3879863790267020E-01 a       258     0    13     1    18
 -1.1167045720751025E-01 a       259     0    13     1    19
 -1.4798628194778771E-02 a       260     0    13     1    20
  5.0720916001679620E-02 a       261     0    14     1     1
 -3.4959469748148819E-01 a       262     0    14     1     2
 -2.0669860864871184E-01 a       263     0    14     1     3
 -4.0118315293041745E-01 a       264     0    14     1     4
 -1.7773556194057910E-01 a       265     0    14     1     5
 -7.5455581360973811E-01 a       266     0    14     1     6
  7.0866043206854890E-01 a       267     0    14     1     7
  6.7457923623292482E-01 a       268     0    14     1     8
  4.3788599876424406E-01 a       269     0    14     1     9
  5.3732089027632068E-01 a       270     0    14     1    10
  1.2250120096120123E-01 a       271     0    14     1    11
  8.8418811323655622E-01 a       272     0    14     1    12
  9.9121750577217435E-02 a       273     0    14     1    13
  4.0144074916288136E-01 a       274     0    14     1    14
  1.3860831434780335E-01 a       275     0    14     1    15
  9.2369834671060358E-01 a       276     0    14     1    16
 -9.0094402978603083E-01 a       277     0    14     1    17
  4.8919710247417492E-01 a       278     0    14     1    18
  4.5687264537992411E-01 a       279     0    14     1    19
  3.9917539317022505E-01 a       280     0    14     1    20
 -3.2049530312555163E-01 a       281     0    15     1     1
 -4.0708119269136689E-01 a       282     0    15     1     2
  1.2348722087058208E+00 a       283     0    15     1     3
 -5.8446756848846459E-01 a       284     0    15     1     4
 -4.3541093308282430E-01 a       285     0    15     1     5
 -4.0469576175403782E-01 a       286     0    15     1     6
 -5.9488728914222810E-01 a       287     0    15     1     7
  1.3321030906475320E+00 a       288     0    15     1     8
  7.3461685159407389E-02 a       289     0    15     1     9
  1.2053507566778316E+00 a       290     0    15     1    10
  1.2887493187037513E+00 a       291     0    15     1    11
  1.1649069790991182E+00 a       292     0    15     1    12
  4.4776080339950480E-01 a       293     0    15     1    13
  9.0126254301081354E-01 a       294     0    15     1    14
  1.6989717730292839E+00 a       295     0    15     1    15
 -1.5015437658569266E+00 a       296     0    15     1    16
 -1.6442485690249984E+00 a       297     0    15     1    17
 -1.5312803036668798E-01 a       298     0    15     1    18
  4.2199515998912929E-01 a       299     0    15     1    19
  2.1522447644015790E+00 a       300     0    15     1    20
  2.3328333058093925E-01 a       301     0    16     1     1
 -1.3732476380599743E+00 a       302     0    16     1     2
  1.5070254447175901E-01 a       303     0    16     1     3
  1.1453070973183999E-01 a       304     0    16     1     4
  6.3471275815140715E-01 a       305     0    16     1     5
 -3.3096009950686384E-01 a       306     0    16     1     6
  4.4287026039022230E-03 a       307     0    16     1     7
  7.9507779385772234E-02 a       308     0    16     1     8
 -3.0766172553157467E-01 a       309     0    16     1     9
  5.1441160919157269E-01 a       310     0    16     1    10
 -6.7325283119123547E-01 a       311     0    16     1    11
  1.4354445437287561E-01 a       312     0    16     1    12
  1.1397923437124500E+00 a       313     0    16     1    13
 -1.0599208120246058E-01 a       314     0    16     1    14
 -2.6115287921715741E-01 a       315     0    16     1    15
 -4.9222221697892327E-01 a       316     0    16     1    16
 -4.0106078320642016E-02 a       317     0    16     1    17
 -3.3645642610442356E-01 a       318     0    16     1    18
  1.3140361846365145E-01 a       319     0    16     1    19
 -2.6028953824831774E-01 a       320     0    16     1    20
 -3.3178407558643590E-02 a       321     0    17     1     1
 -4.7705413905287203E-01 a       322     0    17     1     2
 -7.5448781226783640E-02 a       323     0    17     1     3
 -3.5442345531702169E-01 a       324     0    17     1     4
 -2.7966926940248032E-01 a       325     0    17     1     5
 -5.4488112851649440E-01 a       326     0    17     1     6
  8.0634751385045911E-01 a       327     0    17     1     7
  5.1904477692357487E-01 a       328     0    17     1     8
  6.1817797485744219E-01 a       329     0    17     1     9
  4.6275554552625259E-01 a       330     0    17     1    10
  4.3652739850533878E-01 a       331     0    17     1    11
  6.9045591916800875E-01 a       332     0    17     1    12
  3.7543657213641263E-01 a       333     0    17     1    13
  5.4237583122902377E-01 a       334     0    17     1    14
  1.1699903579814162E-01 a       335     0    17     1    15
  6.8276619800715144E-01 a       336     0    17     1    16
 -5.6156053995597655E-01 a       337     0    17     1    17
  5.7561329066475997E-01 a       338     0    17     1    18
  5.3507485524268006E-01 a       339     0    17     1    19
  3.3860716136389357E-01 a       340     0    17     1    20
 -4.0389533694219215E-01 a       341     0    18     1     1
 -2.8579413265353421E-01 a       342     0    18     1     2
  2.9615354633095514E-01 a       343     0    18     1     3
 -1.2455363090899181E+00 a       344     0    18     1     4
 -8.2518902446222697E-01 a       345     0    18     1     5
 -8.9741915082344081E-01 a       346     0    18     1     6
  8.0828131527167690E-01 a       347     0    18     1     7
  2.4683181143433428E+00 a       348     0    18     1     8
 -4.5969972264591569E-01 a       349     0    18     1     9
  1.3841898430457233E+00 a       350     0    18     1    10
 -3.2080339498623939E-01 a       351     0    18     1    11
 -4.3199165425928182E-01 a       352     0    18     1    12
  4.6613153819993419E-01 a       353     0    18     1    13
  7.5485044836480630E-01 a       354     0    18     1    14
  6.1488162694070980E-01 a       355     0    18     1    15
  7.0275979796785992E-01 a       356     0    18     1    16
 -7.2155101082034334E-01 a       357     0    18     1    17
 -7.8251085370704265E-01 a       358     0    18     1    18
  8.8751730860547784E-01 a       359     0    18     1    19
  7.9465271171594398E-01 a       360     0    18     1    20
 -1.5115387934057672E-01 a       361     0    19     1     1
 -1.1799631679493505E+00 a       362     0    19     1     2
  1.2061934705577899E+00 a       363     0    19     1     3
  3.1711026712439805E-01 a       364     0    19     1     4
  4.7341216686177406E-01 a       365     0    19     1     5
 -2.2314305573859153E-01 a       366     0    19     1     6
 -1.9098419056653302E+00 a       367     0    19     1     7
 -4.2920892184435189E-01 a       368     0    19     1     8
  4.5522154544778121E-01 a       369     0    19     1     9
 -6.7984806890854621E-01 a       370     0    19     1    10
 -2.2518181857075825E-01 a       371     0    19     1    11
  1.5323302597599449E+00 a       372     0    19     1    12
  1.2626413421561382E+00 a       373     0    19     1    13
  1.1126453404767035E-01 a       374     0    19     1    14
 -8.4545068990397176E-01 a       375     0    19     1    15
 -1.3036752420363824E+00 a       376     0    19     1    16
 -5.2914432317778037E-01 a       377     0    19     1    17
 -5.3311652433446721E-01 a       378     0    19     1    18
 -3.4310024364279906E-01 a       379     0    19     1    19
 -1.0748040731212213E-01 a       380     0    19     1    20
 -1.7530654812661478E-01 a       381     0    20     1     1
  5.6883930422510898E-01 a       382     0    20     1     2
  9.4303344016003904E-02 a       383     0    20     1     3
  6.9638059917827788E-02 a       384     0    20     1     4
 -9.3046459735799100E-02 a       385     0    20     1     5
 -3.7872815982637986E-01 a       386     0    20     1     6
 -4.3265173096637632E-01 a       387     0    20     1     7
  4.7340590609674010E-01 a       388     0    20     1     8
  1.3527908771160263E-01 a       389     0    20     1     9
  5.7555793981010184E-01 a       390     0    20     1    10
  1.0883244742152474E+00 a       391     0    20     1    11
  5.1629922622635527E-01 a       392     0    20     1    12
  1.5573452476449998E-01 a       393     0    20     1    13
  3.5250911081008252E-01 a       394     0    20     1    14
  1.1556790096649019E+00 a       395     0    20     1    15
 -1.0098478590908160E+00 a       396     0    20     1    16
 -2.7661049834335805E-01 a       397     0    20     1    17
 -4.6911227709088933E-02 a       398     0    20     1    18
  1.5454488908819072E-01 a       399     0    20     1    19
  1.0007151958356275E+00 a       400     0    20     1    20
 -1.3124938674872342E+00 a       401     0    21     1     1
  3.1312098283416662E-01 a       402     0    21     1     2
 -1.0972097811013182E+00 a       403     0    21     1     3
  7.9711991813922467E-01 a       404     0    21     1     4
  2.1624711947894873E-01 a       405     0    21     1     5
  4.9058992016197239E-01 a       406     0    21     1     6
  5.2743213920074916E-01 a       407     0    21     1     7
  2.6948907695360858E-01 a       408     0    21     1     8
 -3.2704709183660030E-01 a       409     0    21     1     9
 -3.1636884334255662E-02 a       410     0    21     1    10
  9.1285096021382139E-01 a       411     0    21     1    11
 -1.0003313718970526E+00 a       412     0    21     1    12
 -5.5145605230146826E-02 a       413     0    21     1    13
  2.2881800339170318E-02 a       414     0    21     1    14
 -3.6836300861446786E-01 a       415     0    21     1    15
 -7.4175284008273956E-01 a       416     0    21     1    16
  2.0713477628501828E-01 a       417     0    21     1    17
  4.9579585867161852E-01 a       418     0    21     1    18
 -1.9128674748060889E-01 a       419     0    21     1    19
  3.8761920515938614E-01 a       420     0    21     1    20
 -3.9962035865902235E-01 a       421     0    22     1     1
  5.2357964170817761E-01 a       422     0    22     1     2
