################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.2014111846127116E+00 a       230     0    12     1    10
 -1.7901865759432358E+00 a       231     0    12     1    11
 -4.1469424521457343E-01 a       232     0    12     1    12
 -1.4628722383886172E+00 a       233     0    12     1    13
 -2.9822803372745472E+00 a       234     0    12     1    14
  1.7925336712795747E+00 a       235     0    12     1    15
  1.3711342351946412E+00 a       236     0    12     1    16
 -1.4920853040164039E+00 a       237     0    12     1    17
 -2.6040083561532055E+00 a       238     0    12     1    18
  3.4610017578111441E-01 a       239     0    12     1    19
 -1.7876236950342686E-01 a       240     0    12     1    20
 -2.0447671992472985E-01 a       241     0    13     1     1
  2.1386049206384943E+00 a       242     0    13     1     2
  1.2979917791306534E+00 a       243     0    13     1     3
  5.0330111288140567E-01 a       244     0    13     1     4
  2.0984819022458234E+00 a       245     0    13     1     5
 -1.0426495846726892E-01 a       246     0    13     1     6
 -4.4590864371198906E+00 a       247     0    13     1     7
  2.0389543978427254E+00 a       248     0    13     1     8
 -1.7760077270930490E+00 a       249     0    13     1     9
 -7.3421648514408452E-02 a       250     0    13     1    10
 -5.1706416874579899E+00 a       251     0    13     1    11
  9.5730282631526567E-03 a       252     0    13     1    12
 -5.0436961906996096E+00 a       253     0    13     1    13
  4.5424539241276080E-01 a       254     0    13     1    14
  7.3673363171942985E-01 a       255     0    13     1    15
 -1.5761801529461994E+00 a       256     0    13     1    16
  3.1626531195952901E-01 a       257     0    13     1    17
  4.4859582218795833E+00 a       258     0    13     1    18
 -1.3353802205367904E+00 a       259     0    13     1    19
  1.0023134051157736E+00 a       260     0    13     1    20
 -4.9537794048401568E-01 a       261     0    14     1     1
 -9.0167951872532751E-02 a       262     0    14     1     2
 -9.7520139126656602E-01 a       263     0    14     1     3
 -5.3462679921470031E-02 a       264     0    14     1     4
  1.9068380744051694E-01 a       265     0    14     1     5
  8.3960355705813461E-01 a       266     0    14     1     6
 -7.6548587268572355E-01 a       267     0    14     1     7
  5.6193646383990437E-01 a       268     0    14     1     8
  1.6739403895315699E+00 a       269     0    14     1     9
 -2.1031759519066449E+00 a       270     0    14     1    10
 -2.2936807837193327E+00 a       271     0    14     1    11
  1.3477841272556104E+00 a       272     0    14     1    12
 -8.6892411932753721E-01 a       273     0    14     1    13
 -3.6051020916137161E-01 a       274     0    14     1    14
 -1.5714717667758813E+00 a       275     0    14     1    15
 -2.9279631868955636E-01 a       276     0    14     1    16
 -3.3673140262617034E+00 a       277     0    14     1    17
 -4.3636941519058203E-01 a       278     0    14     1    18
 -1.1651798793758783E+00 a       279     0    14     1    19
 -8.1994241173362026E-01 a       280     0    14     1    20
  1.1637741856093432E-01 a       281     0    15     1     1
 -1.3412485425082128E+00 a       282     0    15     1     2
  3.3733331627689761E-01 a       283     0    15     1     3
 -2.9103516503504551E-01 a       284     0    15     1     4
  1.0936646641137618E-01 a       285     0    15     1     5
 -2.7156586321138442E-02 a       286     0    15     1     6
 -3.6731741621565389E-01 a       287     0    15     1     7
  8.3072757214020854E-01 a       288     0    15     1     8
 -5.3892167064986229E-01 a       289     0    15     1     9
 -1.1522542131138225E+00 a       290     0    15     1    10
 -1.3914344492287114E+00 a       291     0    15     1    11
  4.7452091116113659E-01 a       292     0    15     1    12
  1.0057948066628870E+00 a       293     0    15     1    13
  1.5317093062567484E+00 a       294     0    15     1    14
 -1.0389250597852224E+00 a       295     0    15     1    15
  2.3796393284218584E-01 a       296     0    15     1    16
 -1.3664570448289839E+00 a       297     0    15     1    17
 -2.1279872559079782E-01 a       298     0    15     1    18
 -3.7152767798321429E-01 a       299     0    15     1    19
 -1.0425697408523942E+00 a       300     0    15     1    20
  2.5096692533846774E+00 a       301     0    16     1     1
 -5.6614243720026689E+00 a       302     0    16     1     2
 -2.4129185554691754E+00 a       303     0    16     1     3
  5.9344875249324369E-01 a       304     0    16     1     4
  1.5500833499651570E+00 a       305     0    16     1     5
 -2.3749211264474419E+00 a       306     0    16     1     6
 -7.1037097395189108E-01 a       307     0    16     1     7
 -5.9611238784665765E+00 a       308     0    16     1     8
 -6.3184069806876542E-01 a       309     0    16     1     9
  4.6878496145511117E-01 a       310     0    16     1    10
 -1.5013950498057862E+00 a       311     0    16     1    11
 -8.7362660965698413E-01 a       312     0    16     1    12
  1.7856895320199446E+00 a       313     0    16     1    13
 -2.0691971715051984E+00 a       314     0    16     1    14
 -3.1394770390509783E+00 a       315     0    16     1    15
  9.2275746193581465E-01 a       316     0    16     1    16
 -4.0672282141807459E-01 a       317     0    16     1    17
 -1.4672182985387914E+00 a       318     0    16     1    18
 -1.7676778019694075E+00 a       319     0    16     1    19
 -1.6414949259010728E-02 a       320     0    16     1    20
  1.3699759901269561E+00 a       321     0    17     1     1
 -9.9768184319192910E-01 a       322     0    17     1     2
  1.1347334555854172E-01 a       323     0    17     1     3
  1.1259042412654356E+00 a       324     0    17     1     4
 -1.6217765843366314E+00 a       325     0    17     1     5
  1.8593370675092111E+00 a       326     0    17     1     6
 -1.8886717745059192E+00 a       327     0    17     1     7
  7.0996363826115660E-01 a       328     0    17     1     8
  7.4731723448920562E-01 a       329     0    17     1     9
  9.8027422536354902E-01 a       330     0    17     1    10
 -2.3338610146318958E-01 a       331     0    17     1    11
  1.2244994852536226E+00 a       332     0    17     1    12
 -2.3997395185059342E-01 a       333     0    17     1    13
  1.4940097520843492E+00 a       334     0    17     1    14
  3.1821645181077027E+00 a       335     0    17     1    15
  6.8533032142476258E-01 a       336     0    17     1    16
 -1.8435592024487433E+00 a       337     0    17     1    17
  1.9119595668548528E-01 a       338     0    17     1    18
  8.1579713277253696E-01 a       339     0    17     1    19
 -2.0127312200766672E+00 a       340     0    17     1    20
  3.9363104080301098E-01 a       341     0    18     1     1
 -6.2657274242845717E-01 a       342     0    18     1     2
 -3.1867989344074710E-01 a       343     0    18     1     3
 -3.4079307411126114E-01 a       344     0    18     1     4
 -1.1211155639313193E+00 a       345     0    18     1     5
  1.9592718951294399E+00 a       346     0    18     1     6
  1.0803964547679668E+00 a       347     0    18     1     7
 -5.1523752220668042E+00 a       348     0    18     1     8
 -2.0340717913513312E-01 a       349     0    18     1     9
  1.4316735871207049E+00 a       350     0    18     1    10
 -5.0893377401449569E-01 a       351     0    18     1    11
  3.3902732885270077E-02 a       352     0    18     1    12
  1.5137406039745640E+00 a       353     0    18     1    13
 -9.2861668289439459E-01 a       354     0    18     1    14
  2.2493381535845995E+00 a       355     0    18     1    15
  1.9282999115659565E+00 a       356     0    18     1    16
  7.3062870993167361E-01 a       357     0    18     1    17
 -2.0637820983285198E+00 a       358     0    18     1    18
  1.2301471983607370E+00 a       359     0    18     1    19
  1.0887299332060478E-01 a       360     0    18     1    20
 -3.9929510270704843E-01 a       361     0    19     1     1
 -3.2667531453160832E+00 a       362     0    19     1     2
 -1.3768916150601092E+00 a       363     0    19     1     3
  1.5885114945189441E-01 a       364     0    19     1     4
  4.8814248363637258E-01 a       365     0    19     1     5
 -9.6634584320623196E-01 a       366     0    19     1     6
 -3.5742890882735406E-01 a       367     0    19     1     7
 -3.1505111864938780E+00 a       368     0    19     1     8
 -3.3268254873766850E-01 a       369     0    19     1     9
  3.9180336228160684E-01 a       370     0    19     1    10
 -5.8112439312532582E-01 a       371     0    19     1    11
  6.6030814882182265E-03 a       372     0    19     1    12
  1.0954496537338221E+00 a       373     0    19     1    13
  1.1138812201064843E+00 a       374     0    19     1    14
  3.5755183337376586E+00 a       375     0    19     1    15
  2.9228117827982301E+00 a       376     0    19     1    16
  1.7902739254706352E+00 a       377     0    19     1    17
 -8.2621521130105424E-01 a       378     0    19     1    18
  2.8960322758345001E+00 a       379     0    19     1    19
  1.0081947077046032E+00 a       380     0    19     1    20
  1.0219979856324677E+00 a       381     0    20     1     1
 -2.0590729622506827E+00 a       382     0    20     1     2
  4.1891576042912060E-01 a       383     0    20     1     3
 -7.3820876164727256E-01 a       384     0    20     1     4
 -8.9315664904991565E-01 a       385     0    20     1     5
  5.9538110557228019E-01 a       386     0    20     1     6
  2.0094742781890069E+00 a       387     0    20     1     7
 -1.3919185335212549E+00 a       388     0    20     1     8
  1.3626998795469469E-01 a       389     0    20     1     9
  8.6006891303616517E-01 a       390     0    20     1    10
 -6.6576667011566171E-01 a       391     0    20     1    11
  6.4919850755880226E-01 a       392     0    20     1    12
  4.9813910804712047E-01 a       393     0    20     1    13
 -4.4715319635778233E-01 a       394     0    20     1    14
  1.6426772931188294E+00 a       395     0    20     1    15
  1.4298724620998768E+00 a       396     0    20     1    16
  8.8969916961687423E-01 a       397     0    20     1    17
  1.0156403632702884E+00 a       398     0    20     1    18
  1.1856080533973217E+00 a       399     0    20     1    19
  3.2722606649887709E-01 a       400     0    20     1    20
  1.5600833317107092E+00 a       401     0    21     1     1
 -1.9315045484412448E+00 a       402     0    21     1     2
  1.7342689981745831E+00 a       403     0    21     1     3
  1.3285878586230189E+00 a       404     0    21     1     4
 -1.6800920063618969E+00 a       405     0    21     1     5
