################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.0751403138952998E-01 a       201     0    11     1     1
 -8.5794526058305187E-01 a       202     0    11     1     2
  7.3578286212788324E-01 a       203     0    11     1     3
 -2.2587309085003975E+00 a       204     0    11     1     4
 -1.5181832752129940E+00 a       205     0    11     1     5
  2.7522492016929145E-02 a       206     0    11     1     6
  7.3458940555982832E-01 a       207     0    11     1     7
  1.0101119719172895E+00 a       208     0    11     1     8
  1.1614503179720121E+00 a       209     0    11     1     9
  1.2945522384874846E+00 a       210     0    11     1    10
  3.4753991040767246E-01 a       211     0    11     1    11
 -1.1032930858479974E-01 a       212     0    11     1    12
  5.5162607559474733E-02 a       213     0    11     1    13
  4.9310234767337413E-01 a       214     0    11     1    14
  1.3454969228239519E+00 a       215     0    11     1    15
 -9.8185408954281206E-01 a       216     0    11     1    16
  1.5593866704675230E+00 a       217     0    11     1    17
  1.4449683998804919E+00 a       218     0    11     1    18
  5.0576496696192064E-01 a       219     0    11     1    19
 -6.5316983267601902E-01 a       220     0    11     1    20
  5.6940095229360332E-01 a       221     0    12     1     1
 -2.2351227376759447E-01 a       222     0    12     1     2
 -1.1986245589052477E-01 a       223     0    12     1     3
 -8.4984328484833860E-01 a       224     0    12     1     4
  2.2051967282140875E-01 a       225     0    12     1     5
 -7.1831101941745668E-01 a       226     0    12     1     6
 -2.4899850754405806E-01 a       227     0    12     1     7
 -2.3132692833090118E-01 a       228     0    12     1     8
  7.9799971670742498E-01 a       229     0    12     1     9
  1.0760895648187307E+00 a       230     0    12     1    10
  3.1956926317106900E-02 a       231     0    12     1    11
  8.9582071991336865E-01 a       232     0    12     1    12
 -4.4937140414485993E-01 a       233     0    12     1    13
 -1.7401814361447579E-01 a       234     0    12     1    14
  3.2156565852009494E-01 a       235     0    12     1    15
 -6.2251752628620305E-01 a       236     0    12     1    16
 -1.0473080710498330E+00 a       237     0    12     1    17
 -5.3253412463204042E-01 a       238     0    12     1    18
 -6.6277303850992331E-01 a       239     0    12     1    19
  9.0841904883663088E-02 a       240     0    12     1    20
 -6.1811871506381255E-01 a       241     0    13     1     1
  1.7194173309848976E-01 a       242     0    13     1     2
  1.1140428665728287E-01 a       243     0    13     1     3
  1.1058574335657618E+00 a       244     0    13     1     4
 -7.2381235128463439E-01 a       245     0    13     1     5
 -2.2598606078551856E-01 a       246     0    13     1     6
  3.2173533753289058E-01 a       247     0    13     1     7
  9.6238985956561551E-01 a       248     0    13     1     8
  9.0769826151722199E-01 a       249     0    13     1     9
  2.9416291218277940E-01 a       250     0    13     1    10
 -3.6914116876596348E-01 a       251     0    13     1    11
  2.1200297444402243E+00 a       252     0    13     1    12
 -1.3209078158251715E+00 a       253     0    13     1    13
 -1.3135828652206880E+00 a       254     0    13     1    14
  3.0657858170728175E-01 a       255     0    13     1    15
  1.4537917026824099E+00 a       256     0    13     1    16
  3.5409298322224597E-01 a       257     0    13     1    17
  7.1150454768550209E-01 a       258     0    13     1    18
  6.0145946729957689E-01 a       259     0    13     1    19
  5.0247448407403106E-01 a       260     0    13     1    20
  1.7939525080840199E-01 a       261     0    14     1     1
 -1.0521626600020266E+00 a       262     0    14     1     2
  6.7006110625968229E-01 a       263     0    14     1     3
 -1.8494374049743205E+00 a       264     0    14     1     4
 -1.2252167048907516E+00 a       265     0    14     1     5
  1.4870059663388496E-01 a       266     0    14     1     6
  8.6005681130678602E-01 a       267     0    14     1     7
  1.1502143048791389E+00 a       268     0    14     1     8
  8.4267485126857167E-01 a       269     0    14     1     9
  1.4900351717018736E+00 a       270     0    14     1    10
  1.4632826542545613E-01 a       271     0    14     1    11
 -2.6399364072340831E-01 a       272     0    14     1    12
  4.7847474292536635E-02 a       273     0    14     1    13
  2.9256821573586961E-01 a       274     0    14     1    14
  1.4909906028085025E+00 a       275     0    14     1    15
 -1.1269287265893790E+00 a       276     0    14     1    16
  1.2007727786314777E+00 a       277     0    14     1    17
  1.3920819199125338E+00 a       278     0    14     1    18
  2.1660991293277945E-01 a       279     0    14     1    19
 -6.4116019651926970E-01 a       280     0    14     1    20
 -1.4703116067771002E-01 a       281     0    15     1     1
 -1.8060231918861858E+00 a       282     0    15     1     2
 -1.4483175224740126E+00 a       283     0    15     1     3
 -1.1736388896159302E+00 a       284     0    15     1     4
 -1.8758171516804054E+00 a       285     0    15     1     5
 -7.7410510548827260E-01 a       286     0    15     1     6
  1.5238498279170765E+00 a       287     0    15     1     7
  1.9252054745257041E+00 a       288     0    15     1     8
