################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.1374740436535536E-01 a       211     0    11     1    11
 -9.1771122793570803E-01 a       212     0    11     1    12
 -3.5884944108294603E-01 a       213     0    11     1    13
  2.8928483163765700E-01 a       214     0    11     1    14
 -3.1030516335379077E-01 a       215     0    11     1    15
  1.5268476451306581E+00 a       216     0    11     1    16
  1.2155143203232377E-01 a       217     0    11     1    17
  3.7890141358226093E-01 a       218     0    11     1    18
  8.1607630678237086E-01 a       219     0    11     1    19
  8.5358733219072414E-01 a       220     0    11     1    20
  2.3924568629838168E-02 a       221     0    12     1     1
 -2.6563838607754670E-01 a       222     0    12     1     2
  2.9309988872620990E-01 a       223     0    12     1     3
  4.5827277532626404E-01 a       224     0    12     1     4
 -1.9847456371753341E-01 a       225     0    12     1     5
 -3.5558844186025185E-01 a       226     0    12     1     6
  1.4832917537891802E-01 a       227     0    12     1     7
  8.9887318135126504E-01 a       228     0    12     1     8
 -8.0068375322879060E-01 a       229     0    12     1     9
  3.4640430406022910E-01 a       230     0    12     1    10
  3.8843535418613456E-01 a       231     0    12     1    11
 -7.5975381345543658E-02 a       232     0    12     1    12
  1.1301663534501886E-01 a       233     0    12     1    13
 -2.1282722907570478E-01 a       234     0    12     1    14
 -3.6806662943829482E-01 a       235     0    12     1    15
  2.4880216855393131E-01 a       236     0    12     1    16
  4.1352515612069229E-01 a       237     0    12     1    17
  1.7343236581550214E-01 a       238     0    12     1    18
  6.0883259492937858E-01 a       239     0    12     1    19
  4.2142374976962232E-01 a       240     0    12     1    20
 -2.1456660020606769E-01 a       241     0    13     1     1
 -3.5154267440851711E-01 a       242     0    13     1     2
  7.2229654974674284E-01 a       243     0    13     1     3
  6.3252879482413105E-01 a       244     0    13     1     4
  9.6066855060614520E-01 a       245     0    13     1     5
 -1.2275729726031532E+00 a       246     0    13     1     6
  4.7934587973390141E-01 a       247     0    13     1     7
 -7.4635710992093118E-01 a       248     0    13     1     8
  6.0895253140556505E-01 a       249     0    13     1     9
  7.9386548430993875E-01 a       250     0    13     1    10
 -2.8482815855496280E-01 a       251     0    13     1    11
 -2.7604651318358225E-01 a       252     0    13     1    12
  9.3600916774997833E-01 a       253     0    13     1    13
 -1.1170534086162139E-01 a       254     0    13     1    14
 -1.7055540870973904E-01 a       255     0    13     1    15
 -4.6013197303391051E-01 a       256     0    13     1    16
  3.6252035369144903E-01 a       257     0    13     1    17
  4.0376182200472011E-01 a       258     0    13     1    18
 -4.4618413617808167E-01 a       259     0    13     1    19
 -8.0856317132283895E-01 a       260     0    13     1    20
 -1.2916698132672486E+00 a       261     0    14     1     1
 -1.4633265690184610E-01 a       262     0    14     1     2
  5.2508123235831528E-01 a       263     0    14     1     3
  8.2900516188051998E-02 a       264     0    14     1     4
 -8.4119439712453958E-01 a       265     0    14     1     5
  9.5193509499998175E-01 a       266     0    14     1     6
  5.4736353466194188E-01 a       267     0    14     1     7
 -8.7162375418763871E-01 a       268     0    14     1     8
 -8.1550450134280819E-02 a       269     0    14     1     9
  6.5243958634288932E-02 a       270     0    14     1    10
  3.7506417405121723E-01 a       271     0    14     1    11
 -9.2102343484727944E-01 a       272     0    14     1    12
 -2.2931456048284873E-01 a       273     0    14     1    13
 -3.8822487260727741E-02 a       274     0    14     1    14
 -2.3146058766922886E-01 a       275     0    14     1    15
  1.3736539590865193E+00 a       276     0    14     1    16
